material formula,Band_gap_GGA,Band_gap_HSE,Band_gap_GGA_optical,Band_gap_HSE_optical
Cs2Mn3Te4,1.422588,2.035392,1.422588,2.035392
Cs2Mo1O1S3,1.888468,2.677042,1.888468,2.677042
Cs2Mo1O2S2,2.125665,2.99737,2.125665,2.99737
Cs2Mo1S4,1.701038,2.474312,1.701038,2.474312
Cs2Mo1Se4,1.146584,1.769983,1.146584,1.769983
Cs2Mo2O11,2.188641,3.587782,2.308079,3.725497
Cs2Mo3O12Se1,2.3648619999999996,3.416766,2.368415,3.420134
Cs2N12Pd1,1.806011,3.084892,1.811508,3.084892
Cs2N4Ni1O12,2.949189,4.835663,2.994692,4.884337
Cs2Na3O4Tl1,1.352273,2.636248,2.085593,3.44394
Cs2Ni1O2,2.726549,4.023869,2.95997,4.31469
Cs2Ni1P2,1.0659479999999997,1.6133539999999997,1.876686,2.511586
Cs2Ni1P2S6,2.172786,2.753795,2.256319,2.753795
Cs2Ni3S4,1.6154190000000002,2.352896,2.172543,2.890589
Cs2Ni3Se4,1.256855,1.923131,1.81547,2.533265
Cs2O11Sb4,1.808729,3.40499,2.717685,4.39134
Cs2O12Se1W3,2.602419,3.8463860000000003,2.602858,3.852188
Cs2O12Sr1V4,2.623311,3.834667,2.749062,3.834667
Cs2O12Te1W3,2.6806650000000003,3.7919009999999997,2.715768,3.7919009999999997
Cs2O13P4Ti1,2.564887,4.03468,2.585387,4.050767
Cs2O1S5V1,1.603996,2.595287,1.603996,2.595287
Cs2O2,1.685122,3.179453,2.092059,3.771081
Cs2O2Pb1,1.837288,2.69176,1.837288,2.69176
Cs2O2Zn1,2.001965,3.001064,3.015677,4.017484
Cs2O3Pb1,1.361702,2.701461,1.361702,2.701461
Cs2O3Sn2,2.537252,3.408305,2.660318,3.563242
Cs2O4Ru1,0.5609270000000004,2.490396,0.5609270000000004,2.490396
Cs2O4Te1,2.885779,4.615558,2.885779,4.615558
Cs2O8S4,2.36037,3.800688,2.430293,3.887191
Cs2O8V3,2.046025,3.083831,2.046025,3.083831
Cs2P1Se5,1.40482,2.240781,1.79495,2.69515
Cs2P2Si1,1.286145,2.039149,2.150224,2.878243
Cs2Pd1Sb2,0.8482889999999998,1.359486,1.678779,2.188895
Cs2Pd3S4,1.373145,2.411844,1.771067,2.840042
Cs2Pd3Se4,1.058091,1.859319,1.578428,2.412673
Cs2Pt1,1.323792,1.846731,1.758832,2.280032
Cs2Pt1Sb2,0.7555,1.299241,1.828269,2.382744
Cs2Pt1Te2,0.9120469999999998,1.7293759999999998,1.959399,2.844207
Cs2Pt3S4,1.637534,2.641189,2.055577,3.111939
Cs2Pt3Se4,1.317657,2.2292979999999996,1.690469,2.683509
Cs2S1,2.165834,3.091968,3.353902,4.312244
Cs2S10Sb2Sn3,1.686967,2.463774,1.938263,2.742254
Cs2S2,1.720689,2.770729,2.473104,3.679151
Cs2S2Te1,1.163856,2.006284,1.681209,2.006284
Cs2S3,1.34442,2.41078,2.743418,3.972157
Cs2S3Si1,2.957326,4.023005,3.244497,4.316882
Cs2S3Ti1,1.130445,1.987488,1.130445,1.987488
Cs2S4W1,2.140623,2.949761,2.140623,2.949761
Cs2S4Zn3,3.174578,4.035376,3.174578,4.035376
Cs2S5,1.737824,2.758816,1.988043,3.004397
Cs2S6,1.61355,2.569635,2.040729,3.060955
Cs2S9Ti2,1.044322,2.018083,1.37215,2.378275
Cs2Se1,1.838687,2.637608,3.282959,4.141301
Cs2Se3,0.698781,1.587471,2.188674,3.191296
Cs2Se3Sn1,1.714941,2.655796,1.714941,2.655796
Cs2Se3Zr1,1.334399,2.119683,1.334399,2.119683
Cs2Se4Si1,1.923915,2.86661,2.246635,3.190727
