sortedformula	Eg(eV)
Ni2 Sn Zr	0.047
Ni3 Sn4	0.088
Ni O3 Sn	1.201
Ni Sn2 Sr	0.049
Ni Sn2 Y	0.05
Ni Sn Ti	0.253
Ni Sn Y	0.148
Ni Sn Zr	0.086
N Na Sn	0.953
N Rb Sn	0.849
N Sn	0.417
O14 Ru3 Sn15	1.426
O22 Sn5 W8	1.702
O23 Sn5 W8	1.286
O2 Rb2 Sn	2.239
O2 Sn	0.681
O3 Rb2 Sn2	1.206
O3 Sn2	1.571
O3 Sn Sr	1.818
O3 Sn Zn	1.306
O4 Pb2 Sn	2.066
O4 Rb4 Sn	2.19
O4 Si Sn2	2.043
O4 Sn2 Ti	1.342
O4 Sn2 Zn	1.03
O4 Sn3	0.318
O4 Sn Sr2	2.679
O4 Sn W	1.1
O4 Sn Zn2	0.842
O5 Sn2 W	2.205
O6 Sn3 W	2.068
O7 Sn2 Sr3	2.192
O7 Sn2 Y2	2.64
O8 Si Sn6	1.819
O9 Rb2 Si3 Sn	3.849
O Sn	0.241
P2 Sn Zn	0.725
P3 Rb3 Se11 Sn	0.912
P3 Rb5 Se15 Sn	1.139
P4 Sn2 Sr3	0.977
P6 Sn2 Sr5	0.408
Pb3 S12 Sn3 Y2	0.701
Pb S3 Sn	1.256
Pd2 Sn	0.056
Pd Sn2	0.038
Pd Sn3 Sr	0.073
Pd Sn Y	0.038
Pd Sn Zr	0.179
P S3 Sn	1.655
P Se3 Sn	1.366
P Sn	0.057
Pt2 Sn2 Zn3	0.25
Pt2 Sn3	0.045
Pt2 Sn Y	0.115
Pt3 Sn	0.05
Pt Sn4	0.114
Pt Sn Ti	0.714
Pt Sn Y	0.039
Rb2 Se3 Sn	1.69
Rb2 Se5 Sn2	0.878
Rb2 Sn Te5	0.681
Rb4 S4 Sn	2.408
Rb4 Sb6 Sn	1.05
Rb6 S7 Sn2	2.114
Rb S4 Sn	1.497
Rb Se4 Sn2	1.042
Rb Sn	0.771
Rh2 Sn V	0.089
Rh Sn2	0.043
Rh Sn4	0.046
Ru2 Sn2 Zn3	0.055
Ru2 Sn3	0.06
Ru3 Sn7	0.19
Ru Sn2	0.042
S13 Sb6 Sn4	0.649
S2 Sn	1.525
S3 Sn2	0.866
S3 Sn Zr	1.326
S4 Sn Sr2	2.489
S4 Sn Zn2	0.45
S5 Sb2 Sn2	0.777
S7 Sb4 Sn	0.702
S9 Sb2 Sn5	0.592
Sb2 Sn Te4	0.838
Se2 Sn	0.664
Se5 Sn Sr2	0.933
Se9 Sn2 Sr4	0.747
Se Sn	0.631
Si Sn	0.45
Sn2 V	0.081
Sn3 Y	0.188
Sn6 V6 Y	0.043
Sn Sr	0.287
Sn Sr2	0.182
Sn Te	0.386
Sn Ti2	0.143
Sn V3	0.046
S Sn	0.263
