smiles,ΔfH°(298.15 K)
C=CC/C=C/C,17.83
C=CC/C=C\C,18.99
C=CC=C(C)C,11.63
C=CC=CC=O,-2.61
C=CCC(=C)C,17.09
C=CCCC=C,20.15
CC(=C)C(=C)C,11.3
CC(=C1CC1)C,28.77
CC(C#C)C=O,15.67
CC(=O)CC#C,10.13
CC/C=C/C=C,13.58
CC/C=C\C=C,14.76
CC=C(C=C)C,12.15
CC=CC(=C)C,10.79
CC=CC=CC,11.41
CCC#CCC,25.53
CCC(=C)C=C,13.58
CCC=CC=C,14.31
CCC1(C)C=C1,46.75
CCCC#CC,24.86
CCCCC#C,29.79
O=CC=C=CC,9.68
CCC1OC1CO,-74.47
[CH2]C/C(=C/C)/C,34.36
[CH2]C/C(=C\C)/C,34.35
[CH2]C=CC(C)C,19.98
[CH2]CC/C=C/C,36.32
[CH2]CC/C=C\C,37.41
[CH2]CCC(=C)C,35.36
[CH2]CCCC=C,38.81
C/C=C/[C](C)C,15.04
C/C=C\[C](C)C,18.32
C[C@@H](C=C)C[CH2],37.06
C[C](C=C)CC,17.82
C[C]=CC(C)C,40.8
C[CH]C/C=C/C,33.67
C[CH]C/C=C\C,34.89
C[CH]CCC=C,35.92
C=CC[C](C)C,32.24
C=CCC([CH2])C,37.3
CC(=C)[C](C)C,16.49
CC(=C)C([CH2])C,34.44
CC(=O)C([C])C,-28.57
CC[CH]C(=C)C,19.7
CC=C[C](C)C,15.59
CCC/C=C\[CH2],21.77
CCC[CH]C=C,21.29
CCCC=C[CH2],21.85
C/C(=C(/C)\C)/C,-16.3
C[C@@H]1[C@@H]([C@@H]1C)C,-5.72
C[C@H](C=C)CC,-12.23
C=CC(C)(C)C,-14.31
C=CC(C=O)C,-25.12
C=CCC(C)C,-12.05
C=CCCC=O,-23.98
C1CCCCC1,-29.16
CC(=C(C)C)C,-16.38
CC(=C)C=CO,-22.76
CC(=O)C(=C)C,-35.91
CC(C=C)CC,-11.78
CC(C=C=O)C,-28.38
CC=C(C=O)C,-33.44
CC=CC(=O)C,-35.11
CC=CC=CO,-21.93
CCC(=C)CC,-13.17
CCC1(C)CC1,-8.19
CCCC(=C)C,-13.36
CCCCC=C,-9.95
O=CC(=C)C=O,-41.24
O=CC=C(C)C,-31.7
O=CC=C=CO,-19.16
O=CC=CC=O,-41.97
O=CCC=CC,-25.85
OC=C(C=C)C,-22.44
OCC=CC=C,-15.49
[CH2]C(C(C)C)C,6.6
[CH2]CC(C)(C)C,3.93
[CH2]CC(CC)C,7.51
C[CH]C(C)(C)C,1.85
CC([C](C)C)C,1.39
CC[C](CC)C,3.2
CC[CH]C(C)C,4.83
CCC([CH2])(C)C,5.26
CCC(CC)[CH2],8.15
CCC[CH]CC,6.17
CCCC([CH2])C,7.83
CCCC[CH]C,6.04
C1COC=CO1,-50.4
CC(=O)C(C)C,-63.13
CC(=O)C=CO,-70.29
CC(C(C)C)C,-43.12
CC(C=C)CO,-43.72
CCC(=C)CO,-43.07
CCC(=O)CC,-61.7
CCC(CC)C,-40.67
CCC1(C)CO1,-37.93
CCCC(=O)C,-62.03
CCCC(C)C,-41.68
CCCCCC,-39.49
O=CC(C)(C)C,-59.37
O=CCCC=O,-70.31
OCCCC=C,-41.27
OOCC=C=C,21.71
C[C](C1OO1)C,16.35
CC1(C)[CH]OO1,25.22
CC(=O)C(O)C,-98.12
CC[C@]1(O)CO1,-74.12
CC(=O)CCO,-95.34
CC1(CO)CO1,-70.35
CCC(=O)CO,-94.22
CCC1(O)CO1,-74.5
CCCCCO,-70.98
CCOC(=O)C,-107.33
COC(=O)C=O,-108.37
COOCC=C,-10.73
O=CC(O)(C)C,-95.16
OCCC(C)C,-72.72
OCCCC=O,-86.94
C#C[C]1C=CC=C1,114.66
C#CC1(CC1)C#C,131.09
C=C=C1C=CC=C1,85.01
C=CC#CCC#C,123.51
C=CC(C#C)C#C,129.86
CC#CC(=C)C#C,118.01
CC(=O)COO,-69.13
CC(OO)CC,-52.67
CC=C(C#C)C#C,119.63
CCCCOO,-48.34
OOC(C)(C)C,-57.27
OOCC(C)C,-50.63
[CH](C1=CCC1)C#C,114.91
[CH]=C/C=C/C=C=C,131.67
[CH2]c1ccccc1,50.89
C#C[C](C#CC)C,116.12
C[C]=C1C=CC=C1,101.74
C=C[C@H]1C=CC=[C]1,118.7
C=C[C](C#C)C=C,99.24
C=C[CH]/C=C/C#C,99.09
C1=CC=CC=C[CH]1,68.05
CC#C[CH]C#CC,114.18
CC[C](C#C)C#C,121.64
CCC#CC1=C[CH]1,154.5
C#C[C@@H](C#CC)C,92.43
C#CC(C#C)(C)C,94.89
