smiles,ΔfH°(298.15 K)
CC=CC=CO,-21.93
CCC(=C)CC,-13.17
CCC(=CC)C,-13.92
CCC/C=C/C,-12.92
CCC/C=C\C,-11.82
CCC=CC=O,-29.39
CCC=CCC,-11.89
CCCC(=C)C,-13.36
CCCC=CC,-11.96
CCCCC=C,-9.95
O=CC(=C)C=O,-41.24
O=CC=C(C)C,-31.7
O=CC=C=CO,-19.16
O=CC=CC=O,-41.97
O=CCC=CC,-25.85
OC=C(C=C)C,-22.44
[CH2]C(C(C)C)C,6.6
[CH2]CC(C)(C)C,3.93
[CH2]CC(CC)C,7.51
[CH2]CCCCC,9.06
C[CH]C(C)(C)C,1.85
C[CH]CC(C)C,4.21
CC([C](C)C)C,1.39
CC[C](CC)C,3.2
CCC([CH]C)C,4.78
CCC([CH2])(C)C,5.26
CCC(CC)[CH2],8.15
CCC[C](C)C,2.54
CCC[CH]CC,6.17
CCCC([CH2])C,7.83
CC(=C)CCO,-45.7
CC(=CC)CO,-45.06
CC(=CO)CC,-47.98
CC(=O)C(C)C,-63.13
CC(=O)C=CO,-70.29
CC(C(C)C)C,-43.12
CC=CCCO,-43.89
CCC(=C)CO,-43.07
CCC(=O)CC,-61.7
CCC(CC)C,-40.67
CCC=CCO,-42.23
CCCC(=O)C,-62.03
CCCC(C)C,-41.68
CCCC=CO,-45.34
CCCCC=O,-54.35
CCCCCC,-39.49
O=CC(C)(C)C,-59.37
O=CCC(=O)C,-74.52
O=CCC(C)C,-56.43
O=CCCC=O,-70.31
OC=CC(C)C,-47.36
OCC=C(C)C,-44.32
OOCC=C=C,21.71
CC(=O)C(O)C,-98.12
CC(=O)CCO,-95.34
CCC(=O)CO,-94.22
CCCCCO,-70.98
CCOC(=O)C,-107.33
COC(=O)C=O,-108.37
COOCC=C,-10.73
O=CC(O)(C)C,-95.16
OCCC(C)C,-72.72
OCCCC=O,-86.94
C#CC1(CC1)C#C,131.09
C=CC#CCC#C,123.51
C=CC(C#C)C#C,129.86
CC#CC(=C)C#C,118.01
CC=C(C#C)C#C,119.63
CCCCOO,-48.34
OOC(C)(C)C,-57.27
OOCC(=C)O,-56.66
[CH]=C/C=C/C=C=C,131.67
C#C[C](C#CC)C,116.12
C=C[C](C#C)C=C,99.24
C=C[CH]/C=C/C#C,99.09
C1=CC=CC=C[CH]1,68.05
CC#C[CH]C#CC,114.18
CC[C](C#C)C#C,121.64
CCC#C[CH]C#C,120.16
C#C[C@@H](C#CC)C,92.43
C#CC(C#C)(C)C,94.89
C/C=C(/C#C)\C=C,76.49
C/C=C(\C#C)/C=C,74.65
C/C=C/C(=C)C#C,75.44
C/C=C\C(=C)C#C,79.47
C=C=CCC=C=C,95.28
C=CC(C#C)C=C,86.22
CC#CC(=C)C=C,72.94
Cc1ccccc1,12.36
CCC(C#C)C#C,97.16
[CH2]CC[C@H](C(C)(C)C)CC=C,10.68
[CH2]C[C@H](C#C)C=C,102.93
[CH2]C=C(C=C)C=C,64.35
[CH2]CCC(=C)C#C,99.21
[O]c1ccccc1,14.24
C[C](C#CC)C=C,71.3
C[C]1C=CC(=C1)C,43.06
C=C[C](C=C)C=C,60.64
C=C[CH]/C=C/C=C,55.59
C=C[CH]/C=C\C=C,60.87
C=CCC[CH]C#C,90.58
CC[C](C#C)C=C,76.79
[CH2]CCC/C=C/CC=C,51.63
C/C=C/C=C/C=C,31.51
C/C=C/C=C\C=C,32.97
C/C=C/C=C=CC,45.53
C/C=C/CC#CC,48.42
C/C=C\C=C/C=C,34.28
C/C=C\C=C\C=C,32.69
C/C=C\C=C=CC,46.65
CCCCCOO,-52.86
C/C=C\CC#CC,49.97
C[C@@H](C#CC)C=C,49.44
C[C@H](C#C)/C=C/C,51.85
C[C@H](C#C)/C=C\C,53.22
C=C=CC=C(C)C,44.58
C=CC(C#C)(C)C,51.76
C=CC(C=C)C=C,45.27
C=CC=C=C(C)C,44.87
C=CC=C=CC=O,32.4
C=CC=CC=C=O,19.6
CC#CC=C(C)C,41.26
CC[C@@H](C#C)C=C,54.12
CC=C(C=C)C=C,36.9
CCC1=CC(=C1)C,75.87
CCCC1=CC=C1,81.85
Oc1ccccc1,-21.77
[CH2]C/C=C/CC=C,62.38
[CH2]C/C=C\CC=C,63.46
[CH2]CC(=C)CC=C,60.77
[CH2]CC(C=C)C=C,62.54
[CH2]CC/C=C/C=C,57.31
[CH2]CC/C=C\C=C,58.45
[CH2]CCC(=C)C=C,57.45
[CH2]CCCC=C=C,71.93
C/C=C/[CH]/C=C/C,30.49
C/C=C\[CH]/C=C/C,31.16
C/C=C\[CH]/C=C\C,31.86
C[CH]/C=C/CC=C,44.44
C[CH]C(=C)CC=C,44.07
C=C[CH]C/C=C/C,44.15
C=C[CH]C/C=C\C,45.35
C=CC[CH]/C=C/C,44.0
C=CC=C[C](C)C,31.55
C=CCC/C=C/[CH2],46.39
C=CCC/C=C\[CH2],46.81
C=CCC[CH]C=C,46.41
C=CCCC(=C)[CH2],46.52
C=CCCC[C]=C,69.46
CC(=C=C)CC[CH2],68.77
CC(C1=C([CH]1)C)C,81.53
CCC#C[C](C)C,51.65
C=C/C=C/C(C)C,6.74
C=CC(C=C)(C)C,11.21
C=CC[C@H](C=C)C,13.25
C=CCC/C=C/C,12.55
C=CCC/C=C\C,13.68
CC(=CC(=C)C)C,6.01
CC(C1(C)C=C1)C,40.07
CC(C1=C(C1)C)C,34.26
CC1=C(C1(C)C)C,30.78
CCC(C#C)(C)C,20.48
CCC(C=C)C=C,13.62
CCC/C=C/C=C,8.48
CCC/C=C\C=C,9.62
CCC=C=CC=O,4.45
O=CC=C=CC=O,-9.62
[CH2]/C=C/C(C)(C)C,11.99
[CH2][C@H](CC)CC=C,32.48
[CH2]CC(C=C)(C)C,29.39
[CH2]CC(C=C)CC,31.71
[CH2]CC/C=C/CC,31.4
[CH2]CC/C=C\CC,32.51
[CH2]CCC/C=C/C,31.16
[CH2]CCC/C=C\C,32.21
[CH2]CCCC(=C)C,30.37
C[C@@H](C=C)CC[CH2],31.81
C[C@H](C[CH2])CC=C,31.92
C=CCC([CH2])(C)C,29.55
C=CCCC([CH2])C,32.63
CC[C](C=C)CC,13.49
CC[CH]CCC=C,31.42
C#CC#CC#CC#C,219.26
C/C=C(/C(C)C)\C,-21.03
C/C=C(\C(C)C)/C,-20.87
C/C=C/C(C)(C)C,-22.52
C/C=C\C(C)(C)C,-18.29
C=CCC(C)(C)C,-19.79
C=CCCC(C)C,-16.85
CC(=C)C(C)(C)C,-21.99
CC(=CC(=O)C)C,-42.75
CC(=O)C=C=CO,-31.32
CC(C=C(C)C)C,-22.75
CC(CC(=C)C)C,-20.59
CC/C=C/C(C)C,-19.36
CC/C=C\C(C)C,-18.46
CC=CC(C)(C)C,-21.81
CC=CCC(C)C,-19.06
CCC(=C(C)C)C,-21.24
CCC(=CC)CC,-19.29
CCC(C=C)CC,-17.39
CCC/C=C/CC,-17.73
CCC/C=C\CC,-16.64
CCC=CC(C)C,-18.9
CCCC(=C)CC,-18.57
CCCC/C=C/C,-17.73
CCCC/C=C\C,-16.68
CCCC=C(C)C,-19.76
CCCC=CC=O,-34.56
CCCC=CCC,-16.73
CCCCC(=C)C,-19.0
CCCCC=CC,-17.19
