smiles,ΔfH°(298.15 K)
OCCC=C,-36.68
OOC=C=C,30.92
[C]#CC#CC#C,241.93
C[CH]C1OO1,27.32
CC[C]1OO1,33.03
CO[C](C)C,-18.77
C#CC#CC#C,165.16
C1COOC1,-24.40
CC(=C)OO,-19.43
CC(O)(C)C,-75.23
CCC(=O)O,-108.13
CCC(O)C,-70.64
CCCCO,-66.28
COC(=O)C,-99.10
COC(C)C,-61.84
OCC(C)C,-68.04
OCCC=O,-82.20
OOCC=C,-11.92
C#C/C=C/C#C,126.35
C#C/C=C\C#C,126.61
C#CC(=C)C#C,128.89
C#CC=CC#C,126.27
C#CC1=CC=C1,156.18
C=CC#CC#C,123.79
C1=CC#CC=C1,110.45
C1=CC=C=CC=1,138.45
c1cc2-c(c1)c2,123.35
c1cc2-c1cc2,167.42
CC(=O)OO,-82.75
CCCOO,-42.93
OOC(C)C,-47.59
OOCC=O,-55.60
[C]1=CC=CC=C1,80.82
[CH](C1=CC1)C#C,144.84
[CH]=C/C=C/C#C,141.07
[CH]=C/C=C\C#C,140.60
[CH]1C=C[C@@H]1C#C,137.03
[CH]1CC=C1C#C,133.17
C#C[CH]C#CC,124.85
C#C[CH]C1C=C1,153.55
C[C](C#C)C#C,126.95
C=C=C1[CH]C=C1,132.80
C1C=C[C]1C#C,127.12
CC#C[C]1C=C1,157.44
C#CCC#CC,98.96
C#CCCC#C,101.06
C[C@@H]1C=C1C#C,115.22
C=C(C#C)C=C,83.51
C=C/C=C/C#C,85.28
C=C/C=C\C#C,85.15
C=C=C1CC=C1,93.85
C=C=CC#CC,93.88
C=C1C(=C)C1=C,104.73
C=C1C=CC=C1,52.32
C=C1C=CC1=C,80.60
C=CC#CC=C,83.63
C=CC1=CC=C1,110.81
C1=CC1C1C=C1,140.27
C1=CC2C3C1C23,94.45
C1C=C[C@@H]1C#C,97.15
C1CC=C1C#C,92.51
c1ccccc1,20.63
CC#CC#CC,88.34
CC#CC1=CC1,112.18
CC#CC1C=C1,115.44
CC(C#C)C#C,102.78
CC=C=CC#C,97.18
CC1=C[C@H]1C#C,115.08
CCC#CC#C,94.46
COCOO,-70.64
[C]1=CCC=CC1,82.92
[CH]=C/C=C/C=C,98.21
[CH]=C/C=C\C=C,99.67
[CH2]C(=C1C=C1)C,113.70
[CH2]C1C=CC=C1,76.20
C#C[C]1CCC1,99.31
C#C[CH]C1CC1,100.78
C#CC1C[CH]C1,112.35
C#CC1CC[CH]1,113.46
C/C=C/[CH]C#C,82.11
C/C=C/1\[CH]C=C1,90.12
C/C=C\[CH]C#C,82.84
C[C@H]1C=C[C]=C1,88.93
C[C@H]1C=CC=[C]1,89.64
C[C](C#C)C=C,81.79
C[C]1C=CC=C1,52.80
C[CH]C=C1C=C1,114.38
C=C[C@@H]1[CH]C=C1,94.95
C=C[C]1CC=C1,82.45
C=C[CH]C1=CC1,99.77
C=C[CH]C1C=C1,109.72
C=C1[CH]CC=C1,58.12
C=C1CC=C[CH]1,52.81
C=C1CCC=[C]1,91.69
C=CC1=CC[CH]1,90.85
C1=C[C@@H]2[C@H]([CH]1)C2,69.80
C1=C[CH]C=CC1,48.51
C1C[C]=CC=C1,83.56
C1CC=[C]C=C1,84.21
CC#C[C]1CC1,107.11
CC#C[CH]C=C,79.78
CC#CC1C[CH]1,118.47
CC=[C]C#CC,99.38
CC1=[C]C=CC1,86.53
CC1=[C]CC=C1,86.71
CC1=C[C]=CC1,86.12
CC1=CC[C]=C1,86.22
CC1=CC=[C]C1,86.80
O=C1C=C[C]=C1,76.25
O=C1C=CC=[C]1,79.82
C#CC=C(C)C,51.30
C#CC1(C)CC1,62.68
C#CC1CCC1,63.40
C/C=C/C#CC,50.96
C/C=C/C=C=C,52.43
C/C=C/C1=CC1,70.90
C/C=C/C1C=C1,76.08
C/C=C\C#CC,50.46
C/C=C\C=C=C,53.50
C/C=C\C1=CC1,75.22
C/C=C\C1C=C1,77.23
C[C@H]1C=C1C=C,71.85
C=C/C=C/C=C,39.41
C=C/C=C\C=C,40.96
C=C[C@@H]1CC=C1,56.00
C=C=C1CCC1,62.75
C=C=CC(=C)C,51.78
C=C1CC=CC1,29.84
C=C1CCC=C1,25.91
C=C1CCC1=C,49.91
C=CC(=C)C=C,43.44
C=CC=C=CC,53.24
C=CC1(C)C=C1,75.43
C=CC1=CC1=O,51.09
C=CC1=CCC1,49.71
C1=C[C@@H]2[C@H](C1)C2,36.75
C1=CCC=CC1,26.66
C1C[C@H]2[C@@H]1C=C2,61.91
C1CC=CC=C1,25.26
C1CC1=C1CC1,79.95
C1CC1C1C=C1,86.14
CC#CC(=C)C,50.74
CC#CC1CC1,60.92
CC(=C1C=C1)C,78.88
CC1=C(C1)C=C,68.44
CC1=C[C@@H]1C=C,72.31
CC1=C[C@H]1C=C,74.70
CC1=CC(=C1)C,81.14
CC1=CC=C1C,81.67
CC1=CC=CC1,24.58
CC1=CCC=C1,24.22
CC1C=CC=C1,25.83
CCC(=C)C#C,55.79
CCC1=CC=C1,86.93
O=C1[C@@H]2[C@H]1C=C2,65.27
O=C1C=CC=C1,12.27
[CH]=C1CCCC1,61.20
[CH]=CCCC=C,78.90
[CH]1CC=CC1=O,18.73
[CH]1CCC=CC1,45.59
[CH2][C@@H]1CCC=C1,51.14
[CH2]C(=C1CC1)C,65.02
[CH2]C/C=C/C=C,62.91
[CH2]C/C=C\C=C,64.16
[CH2]C=C(C=C)C,40.02
[CH2]C=C/C=C\C,46.50
[CH2]C=C1CCC1,55.43
[CH2]C=CC=CC,40.05
[CH2]C1=CCCC1,34.00
[CH2]C1CC=CC1,50.77
[CH2]c1ccco1,16.32
[CH2]CC(=C)C=C,63.06
[CH2]CCC=C=C,77.00
[CH2]CCCC#C,78.55
C/C=C/C1C[CH]1,79.86
C/C=C\1/CC[CH]1,57.37
C/C=C\C1C[CH]1,80.88
C[C@@H]1[CH]CC=C1,46.47
C[C@@H]1C[CH]C=C1,33.34
C[C@@H]1C=C[C]1C,59.90
C[C@@H]1CC[C]=C1,62.38
C[C@@H]1CC=[C]C1,62.54
C[C@@H]1CCC=[C]1,62.65
C[C@H]1[CH]C(=C1)C,60.07
C[C](C1=CC1)C,73.79
C[C](C1C=C1)C,89.40
C[C]1CC(=C1)C,57.85
C[C]1CC=CC1,43.91
C[C]1CCC=C1,30.81
C[CH][C@@H]1CC=C1,72.00
C[CH]C(=C)C=C,47.27
C[CH]C=C1CC1,65.28
C=C[C](C=C)C,38.21
C=C[CH]/C=C/C,38.40
C=C[CH]/C=C\C,39.11
C=C[CH]C(=C)C,38.88
C=C[CH]C1CC1,56.29
C=C1CC[CH]C1,48.22
C=CC[CH]C=C,52.33
C=CC1C[CH]C1,71.98
C=CC1CC[CH]1,72.20
C=CCC(=C)[CH2],51.66
C=CCC[C]=C,74.66
C1C[CH]C=CC1,30.29
C1CC[C]=CC1,55.54
CC#C[C](C)C,56.53
CC(=C=C)C[CH2],74.39
CC(C1=C[CH]1)C,92.94
CC[C@@H]1[CH]C=C1,64.93
CC[C]1CC=C1,62.45
CC[CH]C#CC,60.37
CC1(C)[CH]C=C1,61.59
CC1=[C]CCC1,60.49
CC1=C([C]1C)C,85.16
CC1=CC[C]1C,57.47
CC1=CC[CH]C1,43.69
CC1=CCC[CH]1,31.50
CCC[CH]C#C,65.49
CCC=C=C[CH2],61.96
CCC1=C([CH]1)C,88.59
CCC1=CC[CH]1,62.65
CCCC#C[CH2],62.58
CCCCC#[C],111.72
O=C1CC=C[CH]1,9.51
OC1=C[CH]C=C1,17.11
C#CC(C)(C)C,25.33
C/C=C(/C=C)\C,11.40
C/C=C(\C=C)/C,11.86
C/C=C/C(=C)C,10.08
C/C=C/C=C/C,10.54
C/C=C/C1CC1,22.23
C/C=C\C(=C)C,13.97
C/C=C\C=C/C,13.06
C/C=C\C=C\C,11.78
C/C=C\C1CC1,25.89
C[C@@H]1C[C@H]1C=C,22.25
C[C@@H]1C=C[C@@H]1C,24.41
C[C@@H]1CCC=C1,0.82
C[C@H]1C[C@H]1C=C,23.31
C[C@H]1C=C[C@@H]1C,23.46
C[C@H]1CC(=C1)C,20.41
C=C[C@H]1CC1=O,23.66
C=C1CC=CO1,-0.36
C=C1CCCC1,1.94
C=CC(=C)C=O,0.02
C=CC(=O)C=C,-0.56
C=CC(C=C)C,18.72
C=CC/C=C/C,17.83
C=CC/C=C\C,18.99
C=CC=C(C)C,11.63
C=CC=CC=O,-2.61
C=CC1(C)CC1,21.15
C=CC1CCC1,23.08
C=CCC(=C)C,17.09
C=CCC=C=O,4.79
C=CCCC=C,20.15
C1C[C@@H]2[C@H](C1)C2,8.59
C1C[C@H]2[C@@H]1CC2,30.61
C1C=COC=C1,-1.55
C1CC=CC1=O,-21.89
C1CC1C1CC1,31.86
C1CCC=CC1,-1.71
CC(=C)C(=C)C,11.30
CC(=C)C1CC1,21.61
CC(=C1CC1)C,28.77
CC(=O)C=C=C,4.91
CC(=O)CC#C,10.13
CC(C#C)C=O,15.67
CC(C1=CC1)C,44.86
CC(C1C=C1)C,47.89
CC/C=C/C=C,13.58
CC/C=C\C=C,14.76
CC[C@@H]1C=C1C,45.60
CC[C@@H]1CC=C1,25.69
CC[C@H]1C=C1C,44.30
CC=C(C=C)C,12.15
CC=C1CCC1,21.25
CC=CC(=C)C,10.79
CC=CC=CC,11.41
CC1(C)CC=C1,22.19
CC1=C(C1C)C,39.17
CC1=C(CC1)C,17.70
CC1=CC[C@H]1C,20.26
CC1=CCCC1,-1.47
CC1CC=CC1,0.93
Cc1ccco1,-18.28
Cc1cocc1,-15.76
CCC#CCC,25.53
CCC(=C)C=C,13.58
CCC=CC=C,14.31
CCC1(C)C=C1,46.75
CCC1=C(C1)C,41.46
CCC1=C[C@@H]1C,44.40
CCC1=CCC1,22.85
CCCC#CC,24.86
CCCC=C=C,28.11
CCCC1=CC1,46.83
CCCC1C=C1,50.12
CCCCC#C,29.79
O=C1CC=CC1,-18.07
O=CC=C=CC,9.68
OC1=CC=CC1,-9.41
OC1=CCC=C1,-10.22
OC1C=CC=C1,-2.12
[CH]1CCCCC1,17.25
[CH]1OC=CC1=O,-16.57
[CH2][C@@H]1C[C@@H](C1)C,41.53
[CH2][C@@H]1C[C@H](C1)C,42.42
[CH2][C@@H]1CC[C@@H]1C,42.71
[CH2][C@@H]1CC[C@H]1C,41.10
[CH2][C@H]1CC1(C)C,39.40
[CH2]C/C(=C/C)/C,34.36
[CH2]C/C(=C\C)/C,34.35
