/root/miniconda3/envs/subset/lib/python3.9/site-packages/torch/nn/modules/transformer.py:508: UserWarning: The PyTorch API of nested tensors is in prototype stage and will change in the near future. We recommend specifying layout=torch.jagged when constructing a nested tensor, as this layout receives active development, has better operator coverage, and works with torch.compile. (Triggered internally at /pytorch/aten/src/ATen/NestedTensorImpl.cpp:178.)
  output = torch._nested_tensor_from_mask(
--- DTA Baseline: Hard Random (Ratio: 0.8) ---

>>> [Stage 0] Sampling...

[Sampler] Running Hard Random | Target: 19964/24956 (80.0%)
-> Source reduced: 24956 -> 19964

[P1] Ep 198: Loss 0.1456 | Val MAE 1.8607
[P1] Ep 199: Loss 0.1486 | Val MAE 1.7822
[P1] Ep 200: Loss 0.1443 | Val MAE 1.8221

=== Phase 2: Target Fine-tuning ===
Freezing backbone layers...
[FT] Ep 1: Loss 8.1595 | Val MAE 1.4024 CI 0.5965
[FT] Ep 2: Loss 7.7999 | Val MAE 1.3313 CI 0.6023
[FT] Ep 3: Loss 7.3031 | Val MAE 1.2703 CI 0.6199
[FT] Ep 4: Loss 6.6726 | Val MAE 1.2390 CI 0.6316
[FT] Ep 5: Loss 6.6552 | Val MAE 1.2187 CI 0.6316
[FT] Ep 6: Loss 6.5397 | Val MAE 1.2103 CI 0.6257
[FT] Ep 7: Loss 6.4819 | Val MAE 1.2100 CI 0.6316
[FT] Ep 8: Loss 6.1369 | Val MAE 1.2126 CI 0.6433
[FT] Ep 9: Loss 5.8195 | Val MAE 1.2137 CI 0.6491
[FT] Ep 10: Loss 5.5935 | Val MAE 1.2132 CI 0.6667
[FT] Ep 11: Loss 5.6447 | Val MAE 1.2132 CI 0.6725
[FT] Ep 12: Loss 5.7768 | Val MAE 1.2114 CI 0.6842
[FT] Ep 13: Loss 5.8665 | Val MAE 1.2090 CI 0.6959
[FT] Ep 14: Loss 5.3051 | Val MAE 1.2052 CI 0.7076
[FT] Ep 15: Loss 5.4062 | Val MAE 1.2012 CI 0.7076
[FT] Ep 16: Loss 5.1370 | Val MAE 1.1998 CI 0.7193
[FT] Ep 17: Loss 5.1569 | Val MAE 1.1967 CI 0.7251
[FT] Ep 18: Loss 5.0299 | Val MAE 1.1909 CI 0.7251
[FT] Ep 19: Loss 4.9812 | Val MAE 1.1867 CI 0.7485
[FT] Ep 20: Loss 4.7385 | Val MAE 1.1895 CI 0.7544
[FT] Ep 21: Loss 4.7498 | Val MAE 1.1880 CI 0.7427
[FT] Ep 22: Loss 5.0098 | Val MAE 1.1867 CI 0.7485
[FT] Ep 23: Loss 5.0799 | Val MAE 1.1842 CI 0.7368
[FT] Ep 24: Loss 4.5890 | Val MAE 1.1813 CI 0.7310
[FT] Ep 25: Loss 4.6515 | Val MAE 1.1774 CI 0.7485
[FT] Ep 26: Loss 4.8351 | Val MAE 1.1665 CI 0.7485
[FT] Ep 27: Loss 4.4772 | Val MAE 1.1648 CI 0.7544
[FT] Ep 28: Loss 4.6760 | Val MAE 1.1621 CI 0.7661
[FT] Ep 29: Loss 4.4919 | Val MAE 1.1595 CI 0.7719
[FT] Ep 30: Loss 4.6733 | Val MAE 1.1576 CI 0.7719
[FT] Ep 31: Loss 4.3216 | Val MAE 1.1560 CI 0.7778
[FT] Ep 32: Loss 4.5470 | Val MAE 1.1494 CI 0.7719
[FT] Ep 33: Loss 4.5877 | Val MAE 1.1402 CI 0.7778
[FT] Ep 34: Loss 4.5059 | Val MAE 1.1340 CI 0.7778
[FT] Ep 35: Loss 4.0063 | Val MAE 1.1254 CI 0.7778
[FT] Ep 36: Loss 4.1129 | Val MAE 1.1178 CI 0.7778
[FT] Ep 37: Loss 4.0457 | Val MAE 1.1127 CI 0.7836
[FT] Ep 38: Loss 3.9446 | Val MAE 1.1079 CI 0.7836
[FT] Ep 39: Loss 3.9729 | Val MAE 1.1105 CI 0.7836
[FT] Ep 40: Loss 3.9797 | Val MAE 1.1145 CI 0.7836
[FT] Ep 41: Loss 4.0381 | Val MAE 1.1158 CI 0.7778
[FT] Ep 42: Loss 3.7182 | Val MAE 1.1273 CI 0.7719
[FT] Ep 43: Loss 3.5848 | Val MAE 1.1290 CI 0.7719
[FT] Ep 44: Loss 3.4391 | Val MAE 1.1246 CI 0.7836
[FT] Ep 45: Loss 3.4206 | Val MAE 1.1117 CI 0.7836
[FT] Ep 46: Loss 3.5486 | Val MAE 1.1058 CI 0.7778
[FT] Ep 47: Loss 3.5218 | Val MAE 1.1065 CI 0.7778
[FT] Ep 48: Loss 3.4398 | Val MAE 1.1005 CI 0.7836
[FT] Ep 49: Loss 3.6810 | Val MAE 1.1014 CI 0.7836
[FT] Ep 50: Loss 3.3436 | Val MAE 1.1065 CI 0.7836
[FT] Ep 51: Loss 3.5733 | Val MAE 1.1074 CI 0.7836
[FT] Ep 52: Loss 3.6341 | Val MAE 1.1069 CI 0.7836
[FT] Ep 53: Loss 3.1440 | Val MAE 1.0964 CI 0.7719
[FT] Ep 54: Loss 2.9811 | Val MAE 1.0949 CI 0.7719
[FT] Ep 55: Loss 3.4215 | Val MAE 1.0954 CI 0.7719
[FT] Ep 56: Loss 3.2718 | Val MAE 1.0959 CI 0.7719
[FT] Ep 57: Loss 3.1907 | Val MAE 1.1006 CI 0.7719
[FT] Ep 58: Loss 3.1576 | Val MAE 1.1072 CI 0.7719
[FT] Ep 59: Loss 2.9175 | Val MAE 1.1029 CI 0.7719
[FT] Ep 60: Loss 2.6085 | Val MAE 1.1021 CI 0.7778
[FT] Ep 61: Loss 3.0164 | Val MAE 1.0930 CI 0.7778
[FT] Ep 62: Loss 2.8984 | Val MAE 1.0930 CI 0.7778
[FT] Ep 63: Loss 2.7108 | Val MAE 1.0940 CI 0.7778
[FT] Ep 64: Loss 2.8290 | Val MAE 1.0959 CI 0.7778
[FT] Ep 65: Loss 2.7934 | Val MAE 1.1001 CI 0.7836
[FT] Ep 66: Loss 2.6463 | Val MAE 1.1030 CI 0.7836
[FT] Ep 67: Loss 2.8351 | Val MAE 1.1084 CI 0.7836
[FT] Ep 68: Loss 2.3980 | Val MAE 1.1174 CI 0.7895
[FT] Ep 69: Loss 2.8256 | Val MAE 1.1063 CI 0.7895
[FT] Ep 70: Loss 2.7075 | Val MAE 1.1025 CI 0.7836
[FT] Ep 71: Loss 2.7069 | Val MAE 1.1118 CI 0.7836
[FT] Ep 72: Loss 2.5199 | Val MAE 1.1218 CI 0.7836
[FT] Ep 73: Loss 2.4777 | Val MAE 1.1390 CI 0.7836
[FT] Ep 74: Loss 2.4384 | Val MAE 1.1349 CI 0.7778
[FT] Ep 75: Loss 2.5900 | Val MAE 1.1355 CI 0.7895
[FT] Ep 76: Loss 2.5228 | Val MAE 1.1237 CI 0.7836
[FT] Ep 77: Loss 2.4114 | Val MAE 1.1288 CI 0.7836
[FT] Ep 78: Loss 2.3465 | Val MAE 1.1099 CI 0.7836
[FT] Ep 79: Loss 2.5491 | Val MAE 1.1120 CI 0.7836
[FT] Ep 80: Loss 2.1544 | Val MAE 1.1091 CI 0.7836
